Seattle Summer Music Games, 2015-07-03T09:00:00, 5b5b1da5-bec9-4131-bd3b-62071a14700c
Rotary Music Festival, 2015-07-03T09:00:00, 168f87c6-d376-4a8f-bb8e-bab1313ac1d4
Show of Shows, 2015-07-03T09:00:00, ac8f37be-c212-40a3-a2de-e0cdc30d7c9e
East Coast Classic, 2015-07-02T09:00:00, 7fc451a6-d219-4f3d-a23d-df0c94b01019
Drums of Fire, 2015-07-02T09:00:00, 1fc36cbe-bccc-4cab-9fa8-eedf5f33cac7
Celebration In Brass, 2015-07-02T09:00:00, 490ea8de-4b39-46bd-b4db-ffaddd9f8998
Brass Impact, 2015-07-01T09:00:00, 7e7a7ae8-c649-4ad8-b089-0c0220c475d7
Drum Corps: An American Tradition, 2015-06-29T09:00:00, 388684c7-23f9-4d44-aca1-8d9773ee1aac
The Thunder of Drums, 2015-06-29T09:00:00, 46f59a0f-cf3f-4a87-8dc3-cf3e42753664
Drums Across the Desert, 2015-06-29T09:00:00, 85b8ec23-ed05-4941-ad28-efe1fe5105d9
River City Rhapsody - Rochester, 2015-06-28T09:00:00, 9ee8271e-5a0d-4a16-af33-81c5bc82fd74
Western Corps Connection, 2015-06-28T09:00:00, 874df487-8ca9-41ef-a0c8-a5b8f424b1af
DCI All-Star Review, 2015-06-28T09:00:00, ebb023bf-06ec-4fcb-9dda-f9f9ea23d7a1
Pageant of Drums, 2015-06-27T09:00:00, 563e0f9c-8b63-433b-89ae-23f3ee13da41
Corps at the Crest Los Angeles presented by Pacific Crest Youth Arts Organization, 2015-06-27T09:00:00, 1585fd7e-354c-4995-9563-8866b32a29e1
Drums on Parade, 2015-06-27T09:00:00, 7f780752-69d4-423e-b6ed-dce6b29214eb
DCI Central Indiana, 2015-06-26T09:00:00, ab86f47e-1bbb-47ba-9f88-5649c1fc6a30
Corps at the Crest San Diego, 2015-06-26T09:00:00, 35d0c49b-2842-442d-81ac-fa11d1a600a4
Drums on the Ohio, 2015-06-24T09:00:00, a89632bd-d733-446d-9fef-27ddfcb18281
Innovations in Brass: Pittsburgh, 2015-06-24T09:00:00, 9501fe62-2fe7-4f28-a245-b997627681c0
DCI St. Louis, 2015-06-23T09:00:00, f00bc87a-9912-4fb0-894b-132f10cc468e
Pacific Proscession, 2015-06-22T09:00:00, 8cab9969-b46a-4d28-a5fc-a4a6a2896ecc
Summer Music Games in Cincinnati, 2015-06-22T09:00:00, ed14e62e-342c-4e1e-8759-b91a8fcb2d0b
Cavalcade of Brass, 2015-06-21T09:00:00, bd0804f8-c3a5-4b90-88a7-1e68089653de
Moonlight Classic, 2015-06-21T09:00:00, d9d0ff6c-e4ab-437d-8e47-5e0e7edc003b
Innovations in Brass: Akron, 2015-06-20T09:00:00, 64601eb0-4ce2-469b-8972-5561d6eb25ed
DCI West, 2015-06-20T09:00:00, 089e7833-1fb2-429e-a0a9-8a0afcb10c62
Legends Drum Corps Preview, 2015-06-20T09:00:00, fea80d96-f9f3-4742-a7d8-ef64db1f89bc
MidCal Champions Showcase, 2015-06-19T09:00:00, e6852f2f-8b53-4171-9985-0e27f9afa30c
DCI Louisville presented by DeMoulin Bros., 2015-06-19T09:00:00, b045e7f3-166a-4b62-a4ab-9fde6bf91c33
DCI Tour Premiere, 2015-06-17T20:30:00, 61473737-8b9c-4487-830f-58f122ad3ce5
